iter	Passed	Remaining
795	3850	986
796	3855	982
797	3862	977
798	3867	973
799	3872	968
800	3878	963
801	3882	958
802	3886	953
803	3892	948
804	3897	944
805	3901	939
806	3905	934
807	3912	929
808	3916	924
809	3920	919
810	3925	914
811	3931	910
812	3936	905
813	3942	900
814	3946	895
815	3950	890
816	3953	885
817	3958	880
818	3962	875
819	3965	870
820	3969	865
821	3974	860
822	3978	855
823	3981	850
824	3985	845
825	3990	840
826	3993	835
827	3997	830
828	4001	825
829	4007	820
830	4010	815
831	4014	810
832	4017	805
833	4022	800
834	4026	795
835	4030	790
836	4033	785
837	4038	780
838	4042	775
839	4045	770
840	4049	765
841	4053	760
842	4057	755
843	4062	750
844	4066	746
845	4070	741
846	4074	736
847	4078	731
848	4083	726
849	4087	721
850	4091	716
851	4094	711
852	4099	706
853	4103	701
854	4107	696
855	4111	691
856	4116	686
857	4120	681
858	4124	676
859	4128	672
860	4133	667
861	4137	662
862	4142	657
863	4147	652
864	4151	647
865	4156	643
866	4160	638
867	4167	633
868	4173	629
869	4179	624
870	4184	619
871	4189	614
872	4193	610
873	4197	605
874	4201	600
875	4205	595
876	4209	590
877	4213	585
878	4217	580
879	4220	575
880	4225	570
881	4229	565
882	4233	560
883	4238	556
884	4242	551
885	4247	546
886	4251	541
887	4256	536
888	4260	531
889	4264	527
890	4268	522
891	4272	517
892	4276	512
893	4281	507
894	4285	502
895	4289	497
896	4294	493
897	4298	488
898	4302	483
899	4307	478
900	4311	473
901	4314	468
902	4319	463
903	4323	459
904	4327	454
905	4331	449
906	4335	444
907	4341	439
908	4345	435
909	4349	430
910	4353	425
911	4357	420
912	4361	415
913	4366	410
914	4371	406
915	4376	401
916	4380	396
917	4385	391
918	4389	386
919	4393	382
920	4398	377
921	4402	372
922	4408	367
923	4415	363
924	4418	358
925	4423	353
926	4427	348
927	4432	343
928	4437	339
929	4441	334
930	4445	329
931	4450	324
932	4454	319
933	4458	315
934	4462	310
935	4466	305
936	4470	300
937	4474	295
938	4478	290
939	4482	286
940	4486	281
941	4490	276
942	4495	271
943	4499	266
944	4503	262
945	4508	257
946	4512	252
947	4516	247
948	4520	242
949	4524	238
950	4529	233
951	4533	228
952	4537	223
953	4542	219
954	4546	214
955	4550	209
956	4555	204
957	4560	199
958	4564	195
959	4568	190
960	4574	185
961	4578	180
962	4582	176
963	4587	171
964	4592	166
965	4597	161
966	4601	157
967	4606	152
968	4611	147
969	4616	142
970	4620	137
971	4625	133
972	4629	128
973	4633	123
974	4638	118
975	4643	114
976	4647	109
977	4652	104
978	4657	99
979	4661	95
980	4665	90
981	4671	85
982	4675	80
983	4680	76
984	4685	71
985	4690	66
986	4695	61
987	4703	57
988	4707	52
989	4712	47
990	4717	42
991	4722	38
992	4727	33
993	4732	28
994	4737	23
995	4741	19
996	4746	14
997	4750	9
998	4756	4
999	4761	0
